id,Quarter ending,State,Unit,Value
317,2016 Q1,South Australia,$ per megawatt hour,54
318,2016 Q1,Tasmania,$ per megawatt hour,174
319,2016 Q1,Victoria,$ per megawatt hour,50
320,2016 Q2,New South Wales,$ per megawatt hour,81
321,2016 Q2,Queensland,$ per megawatt hour,77
322,2016 Q2,South Australia,$ per megawatt hour,87
323,2016 Q2,Tasmania,$ per megawatt hour,114
324,2016 Q2,Victoria,$ per megawatt hour,69
325,2016 Q3,New South Wales,$ per megawatt hour,56
326,2016 Q3,Queensland,$ per megawatt hour,54
327,2016 Q3,South Australia,$ per megawatt hour,133
328,2016 Q3,Tasmania,$ per megawatt hour,55
329,2016 Q3,Victoria,$ per megawatt hour,53
330,2016 Q4,New South Wales,$ per megawatt hour,66
331,2016 Q4,Queensland,$ per megawatt hour,66
332,2016 Q4,South Australia,$ per megawatt hour,75
333,2016 Q4,Tasmania,$ per megawatt hour,38
334,2016 Q4,Victoria,$ per megawatt hour,35
335,2017 Q1,New South Wales,$ per megawatt hour,135
336,2017 Q1,Queensland,$ per megawatt hour,194
337,2017 Q1,South Australia,$ per megawatt hour,160
338,2017 Q1,Tasmania,$ per megawatt hour,99
339,2017 Q1,Victoria,$ per megawatt hour,85
340,2017 Q2,New South Wales,$ per megawatt hour,94
341,2017 Q2,Queensland,$ per megawatt hour,87
342,2017 Q2,South Australia,$ per megawatt hour,118
343,2017 Q2,Tasmania,$ per megawatt hour,114
344,2017 Q2,Victoria,$ per megawatt hour,107
345,2017 Q3,New South Wales,$ per megawatt hour,95
346,2017 Q3,Queensland,$ per megawatt hour,82
347,2017 Q3,South Australia,$ per megawatt hour,102
348,2017 Q3,Tasmania,$ per megawatt hour,97
349,2017 Q3,Victoria,$ per megawatt hour,103
350,2017 Q4,New South Wales,$ per megawatt hour,81
351,2017 Q4,Queensland,$ per megawatt hour,73
352,2017 Q4,South Australia,$ per megawatt hour,85
353,2017 Q4,Tasmania,$ per megawatt hour,85
354,2017 Q4,Victoria,$ per megawatt hour,88
355,2018 Q1,New South Wales,$ per megawatt hour,74
356,2018 Q1,Queensland,$ per megawatt hour,72
357,2018 Q1,South Australia,$ per megawatt hour,144
358,2018 Q1,Tasmania,$ per megawatt hour,91
359,2018 Q1,Victoria,$ per megawatt hour,120
360,2018 Q2,New South Wales,$ per megawatt hour,88
361,2018 Q2,Queensland,$ per megawatt hour,72
362,2018 Q2,South Australia,$ per megawatt hour,101
363,2018 Q2,Tasmania,$ per megawatt hour,77
364,2018 Q2,Victoria,$ per megawatt hour,86
365,2018 Q3,New South Wales,$ per megawatt hour,90
366,2018 Q3,Queensland,$ per megawatt hour,80
367,2018 Q3,South Australia,$ per megawatt hour,95
368,2018 Q3,Tasmania,$ per megawatt hour,43
369,2018 Q3,Victoria,$ per megawatt hour,84
370,2018 Q4,New South Wales,$ per megawatt hour,88
371,2018 Q4,Queensland,$ per megawatt hour,85
372,2018 Q4,South Australia,$ per megawatt hour,100
373,2018 Q4,Tasmania,$ per megawatt hour,85
374,2018 Q4,Victoria,$ per megawatt hour,100
375,2019 Q1,New South Wales,$ per megawatt hour,105
376,2019 Q1,Queensland,$ per megawatt hour,89
377,2019 Q1,South Australia,$ per megawatt hour,220
378,2019 Q1,Tasmania,$ per megawatt hour,136
379,2019 Q1,Victoria,$ per megawatt hour,213
380,2019 Q2,New South Wales,$ per megawatt hour,86
381,2019 Q2,Queensland,$ per megawatt hour,78
382,2019 Q2,South Australia,$ per megawatt hour,95
383,2019 Q2,Tasmania,$ per megawatt hour,99
384,2019 Q2,Victoria,$ per megawatt hour,101
385,2019 Q3,New South Wales,$ per megawatt hour,86
386,2019 Q3,Queensland,$ per megawatt hour,66
387,2019 Q3,South Australia,$ per megawatt hour,82
388,2019 Q3,Tasmania,$ per megawatt hour,70
389,2019 Q3,Victoria,$ per megawatt hour,103
390,2019 Q4,New South Wales,$ per megawatt hour,76
391,2019 Q4,Queensland,$ per megawatt hour,65
392,2019 Q4,South Australia,$ per megawatt hour,87
393,2019 Q4,Tasmania,$ per megawatt hour,76
394,2019 Q4,Victoria,$ per megawatt hour,82
395,2020 Q1,New South Wales,$ per megawatt hour,108
396,2020 Q1,Queensland,$ per megawatt hour,57
397,2020 Q1,South Australia,$ per megawatt hour,81
398,2020 Q1,Tasmania,$ per megawatt hour,44
399,2020 Q1,Victoria,$ per megawatt hour,109
400,2020 Q2,New South Wales,$ per megawatt hour,45
401,2020 Q2,Queensland,$ per megawatt hour,35
402,2020 Q2,South Australia,$ per megawatt hour,44
403,2020 Q2,Tasmania,$ per megawatt hour,32
